portNum, banner
822, timed out
823, timed out
824, timed out
825, timed out
826, timed out
827, timed out
828, timed out
829, timed out
830, timed out
831, timed out
832, timed out
833, timed out
834, timed out
835, timed out
836, timed out
837, timed out
838, timed out
839, timed out
840, timed out
841, timed out
842, timed out
843, timed out
844, timed out
845, timed out
846, timed out
847, timed out
848, timed out
849, timed out
850, timed out
851, timed out
852, timed out
853, timed out
854, timed out
855, timed out
856, timed out
857, timed out
858, timed out
859, timed out
860, timed out
861, timed out
862, timed out
863, timed out
864, timed out
865, timed out
866, timed out
867, timed out
868, timed out
869, timed out
870, timed out
871, timed out
872, timed out
873, timed out
874, timed out
875, timed out
876, timed out
877, timed out
878, timed out
879, timed out
880, timed out
881, timed out
882, timed out
883, timed out
884, timed out
885, timed out
886, timed out
887, timed out
888, timed out
889, timed out
890, timed out
891, timed out
892, timed out
893, timed out
894, timed out
895, timed out
896, timed out
897, timed out
898, timed out
899, timed out
900, timed out
901, timed out
902, timed out
903, timed out
904, timed out
905, timed out
906, timed out
907, timed out
908, timed out
909, timed out
910, timed out
911, timed out
912, timed out
913, timed out
914, timed out
915, timed out
916, timed out
917, timed out
918, timed out
919, timed out
920, timed out
921, timed out
922, timed out
923, timed out
924, timed out
925, timed out
926, timed out
927, timed out
928, timed out
929, timed out
930, timed out
931, timed out
932, timed out
933, timed out
934, timed out
935, timed out
936, timed out
937, timed out
938, timed out
939, timed out
940, timed out
941, timed out
942, timed out
943, timed out
944, timed out
945, timed out
946, timed out
947, timed out
948, timed out
949, timed out
950, timed out
951, timed out
952, timed out
953, timed out
954, timed out
955, timed out
956, timed out
957, timed out
958, timed out
959, timed out
960, timed out
961, timed out
962, timed out
963, timed out
964, timed out
965, timed out
966, timed out
967, timed out
968, timed out
969, timed out
970, timed out
971, timed out
972, timed out
973, timed out
974, timed out
975, timed out
976, timed out
977, timed out
978, timed out
979, timed out
980, timed out
981, timed out
982, timed out
983, timed out
984, timed out
985, timed out
986, timed out
987, timed out
988, timed out
989, timed out
990, timed out
991, timed out
992, timed out
993, timed out
994, timed out
995, timed out
996, timed out
997, timed out
998, timed out
999, timed out
1000, timed out
1001, timed out
1002, timed out
1003, timed out
1004, timed out
1005, timed out
1006, timed out
1007, timed out
1008, timed out
1009, timed out
1010, timed out
1011, timed out
1012, timed out
1013, timed out
1014, timed out
1015, timed out
1016, timed out
1017, timed out
1018, timed out
1019, timed out
1020, timed out
1021, timed out
1022, timed out
1023, timed out
